"iteration","a","b","cp","N","model","Sobel_z"
50,-0.3,-0.3,-0.2,100,1,2.07335719237354
50,-0.3,-0.3,-0.2,100,2,1.39200739222517
51,-0.3,-0.3,-0.2,100,1,2.30908718105878
51,-0.3,-0.3,-0.2,100,2,0.0373202921163326
52,-0.3,-0.3,-0.2,100,1,1.8325736683688
52,-0.3,-0.3,-0.2,100,2,0.488141648967114
53,-0.3,-0.3,-0.2,100,1,2.11526782427614
53,-0.3,-0.3,-0.2,100,2,0.481164926349567
54,-0.3,-0.3,-0.2,100,1,-0.20515457976304
54,-0.3,-0.3,-0.2,100,2,-0.0406945953608089
55,-0.3,-0.3,-0.2,100,1,2.17635570946236
55,-0.3,-0.3,-0.2,100,2,0.211006569960682
56,-0.3,-0.3,-0.2,100,1,1.56118549123415
56,-0.3,-0.3,-0.2,100,2,1.82443876844253
57,-0.3,-0.3,-0.2,100,1,1.68115469607108
57,-0.3,-0.3,-0.2,100,2,1.28195254033953
58,-0.3,-0.3,-0.2,100,1,1.37227256852086
58,-0.3,-0.3,-0.2,100,2,0.808179382332702
59,-0.3,-0.3,-0.2,100,1,2.53146607829518
59,-0.3,-0.3,-0.2,100,2,1.02403034679819
60,-0.3,-0.3,-0.2,100,1,1.63409499716325
60,-0.3,-0.3,-0.2,100,2,-0.0948417514320576
61,-0.3,-0.3,-0.2,100,1,1.64992464533329
61,-0.3,-0.3,-0.2,100,2,0.564458608233611
62,-0.3,-0.3,-0.2,100,1,1.14422692392233
62,-0.3,-0.3,-0.2,100,2,1.85219233285099
63,-0.3,-0.3,-0.2,100,1,2.46031260584298
63,-0.3,-0.3,-0.2,100,2,-0.521727358851435
64,-0.3,-0.3,-0.2,100,1,1.81335748260715
64,-0.3,-0.3,-0.2,100,2,0.00644916526325714
65,-0.3,-0.3,-0.2,100,1,2.11200774450295
65,-0.3,-0.3,-0.2,100,2,1.64329376456508
66,-0.3,-0.3,-0.2,100,1,1.47195359850984
66,-0.3,-0.3,-0.2,100,2,1.05997905132983
67,-0.3,-0.3,-0.2,100,1,1.31706329065877
67,-0.3,-0.3,-0.2,100,2,1.34752142724027
68,-0.3,-0.3,-0.2,100,1,2.0746258127157
68,-0.3,-0.3,-0.2,100,2,1.67851628006171
69,-0.3,-0.3,-0.2,100,1,2.57157491789209
69,-0.3,-0.3,-0.2,100,2,1.61951025629331
70,-0.3,-0.3,-0.2,100,1,2.01450084395184
70,-0.3,-0.3,-0.2,100,2,0.710104618833008
71,-0.3,-0.3,-0.2,100,1,2.10624146222796
71,-0.3,-0.3,-0.2,100,2,0.635104137690258
72,-0.3,-0.3,-0.2,100,1,1.98998520462858
72,-0.3,-0.3,-0.2,100,2,-0.0592400302403826
73,-0.3,-0.3,-0.2,100,1,2.84248537019418
73,-0.3,-0.3,-0.2,100,2,-0.338578501135986
74,-0.3,-0.3,-0.2,100,1,2.0599984604189
74,-0.3,-0.3,-0.2,100,2,1.40301386364513
75,-0.3,-0.3,-0.2,100,1,1.5609906804121
75,-0.3,-0.3,-0.2,100,2,-0.545193283039608
76,-0.3,-0.3,-0.2,100,1,1.98637955544091
76,-0.3,-0.3,-0.2,100,2,1.54219697815939
77,-0.3,-0.3,-0.2,100,1,1.03956756675591
77,-0.3,-0.3,-0.2,100,2,1.000942391619
78,-0.3,-0.3,-0.2,100,1,1.44043566561678
78,-0.3,-0.3,-0.2,100,2,0.198899824870153
79,-0.3,-0.3,-0.2,100,1,1.18128922981857
79,-0.3,-0.3,-0.2,100,2,0.769141811169272
80,-0.3,-0.3,-0.2,100,1,2.28807833903175
80,-0.3,-0.3,-0.2,100,2,0.812016899859906
81,-0.3,-0.3,-0.2,100,1,1.77833994209883
81,-0.3,-0.3,-0.2,100,2,0.571234150904239
82,-0.3,-0.3,-0.2,100,1,0.84811942294047
82,-0.3,-0.3,-0.2,100,2,0.787925162557889
83,-0.3,-0.3,-0.2,100,1,1.49853328872239
83,-0.3,-0.3,-0.2,100,2,1.25476700924643
84,-0.3,-0.3,-0.2,100,1,2.35382946448043
84,-0.3,-0.3,-0.2,100,2,1.82727065669864
85,-0.3,-0.3,-0.2,100,1,1.76776289257998
85,-0.3,-0.3,-0.2,100,2,1.16086406275408
86,-0.3,-0.3,-0.2,100,1,2.57057053917668
86,-0.3,-0.3,-0.2,100,2,1.23445059367036
87,-0.3,-0.3,-0.2,100,1,1.6710446242333
87,-0.3,-0.3,-0.2,100,2,0.389796193590966
88,-0.3,-0.3,-0.2,100,1,0.330323085662147
88,-0.3,-0.3,-0.2,100,2,1.1944763838443
89,-0.3,-0.3,-0.2,100,1,1.93091047522628
89,-0.3,-0.3,-0.2,100,2,1.39162891356471
90,-0.3,-0.3,-0.2,100,1,1.47074498356617
90,-0.3,-0.3,-0.2,100,2,1.8400393249849
91,-0.3,-0.3,-0.2,100,1,1.5795589298329
91,-0.3,-0.3,-0.2,100,2,1.72406811267781
92,-0.3,-0.3,-0.2,100,1,1.14647373573987
92,-0.3,-0.3,-0.2,100,2,1.12077135686143
93,-0.3,-0.3,-0.2,100,1,2.04963744847126
93,-0.3,-0.3,-0.2,100,2,1.00085373183625
94,-0.3,-0.3,-0.2,100,1,1.74823956044163
94,-0.3,-0.3,-0.2,100,2,1.15685708690531
95,-0.3,-0.3,-0.2,100,1,2.57253754354146
95,-0.3,-0.3,-0.2,100,2,1.44804220431046
96,-0.3,-0.3,-0.2,100,1,1.88210072929067
96,-0.3,-0.3,-0.2,100,2,0.253706686631948
97,-0.3,-0.3,-0.2,100,1,2.37575793466424
97,-0.3,-0.3,-0.2,100,2,-0.179533659825197
98,-0.3,-0.3,-0.2,100,1,1.52934320172626
98,-0.3,-0.3,-0.2,100,2,0.862648084837104
99,-0.3,-0.3,-0.2,100,1,2.8900192540511
99,-0.3,-0.3,-0.2,100,2,1.65780750654787
100,-0.3,-0.3,-0.2,100,1,2.68926722775115
100,-0.3,-0.3,-0.2,100,2,1.02899520371721
101,-0.3,-0.3,-0.2,100,1,2.68562687760971
101,-0.3,-0.3,-0.2,100,2,1.02978668480408
102,-0.3,-0.3,-0.2,100,1,2.64372144854556
102,-0.3,-0.3,-0.2,100,2,0.390544426634891
103,-0.3,-0.3,-0.2,100,1,3.29554610748516
103,-0.3,-0.3,-0.2,100,2,-0.096614952347717
104,-0.3,-0.3,-0.2,100,1,1.84920493023426
104,-0.3,-0.3,-0.2,100,2,0.23868427207471
105,-0.3,-0.3,-0.2,100,1,1.87719258943909
105,-0.3,-0.3,-0.2,100,2,1.95106555407627
106,-0.3,-0.3,-0.2,100,1,2.63498644455344
106,-0.3,-0.3,-0.2,100,2,0.845959429570277
107,-0.3,-0.3,-0.2,100,1,3.0952895441626
107,-0.3,-0.3,-0.2,100,2,0.273607367633774
108,-0.3,-0.3,-0.2,100,1,2.31794958475697
108,-0.3,-0.3,-0.2,100,2,-0.168255165625248
109,-0.3,-0.3,-0.2,100,1,2.08088871452623
109,-0.3,-0.3,-0.2,100,2,1.02641237471652
110,-0.3,-0.3,-0.2,100,1,2.37761525047983
110,-0.3,-0.3,-0.2,100,2,1.68575674301846
111,-0.3,-0.3,-0.2,100,1,1.33836845831276
111,-0.3,-0.3,-0.2,100,2,1.33152441548387
112,-0.3,-0.3,-0.2,100,1,0.962493151144374
112,-0.3,-0.3,-0.2,100,2,1.42785022895783
113,-0.3,-0.3,-0.2,100,1,2.03104091706931
113,-0.3,-0.3,-0.2,100,2,1.3084507314183
114,-0.3,-0.3,-0.2,100,1,1.50304590852782
114,-0.3,-0.3,-0.2,100,2,1.29328669550564
115,-0.3,-0.3,-0.2,100,1,1.70143368577987
115,-0.3,-0.3,-0.2,100,2,1.13686401055411
116,-0.3,-0.3,-0.2,100,1,1.91888910033861
116,-0.3,-0.3,-0.2,100,2,1.72274036196404
117,-0.3,-0.3,-0.2,100,1,1.41777267595764
117,-0.3,-0.3,-0.2,100,2,0.930543219616436
118,-0.3,-0.3,-0.2,100,1,1.70159701801001
118,-0.3,-0.3,-0.2,100,2,0.404721171206076
119,-0.3,-0.3,-0.2,100,1,1.43845843763993
119,-0.3,-0.3,-0.2,100,2,-0.198938320843504
120,-0.3,-0.3,-0.2,100,1,0.141682771569825
120,-0.3,-0.3,-0.2,100,2,2.1910319665691
121,-0.3,-0.3,-0.2,100,1,1.23366044011063
121,-0.3,-0.3,-0.2,100,2,1.35896088948931
122,-0.3,-0.3,-0.2,100,1,1.74286883429571
122,-0.3,-0.3,-0.2,100,2,1.27745577043338
123,-0.3,-0.3,-0.2,100,1,1.37229964780936
123,-0.3,-0.3,-0.2,100,2,1.29790555072683
124,-0.3,-0.3,-0.2,100,1,2.83552754307079
124,-0.3,-0.3,-0.2,100,2,0.827209087736775
125,-0.3,-0.3,-0.2,100,1,1.96646652790312
125,-0.3,-0.3,-0.2,100,2,-0.0927095902162226
126,-0.3,-0.3,-0.2,100,1,1.75933995759413
126,-0.3,-0.3,-0.2,100,2,0.414377821096021
127,-0.3,-0.3,-0.2,100,1,2.05488880877427
127,-0.3,-0.3,-0.2,100,2,2.02489786975494
128,-0.3,-0.3,-0.2,100,1,1.8509938863561
128,-0.3,-0.3,-0.2,100,2,0.592463761096661
129,-0.3,-0.3,-0.2,100,1,2.56345849357002
129,-0.3,-0.3,-0.2,100,2,1.24067954017136
130,-0.3,-0.3,-0.2,100,1,0.839929724586148
130,-0.3,-0.3,-0.2,100,2,-0.458675350518799
131,-0.3,-0.3,-0.2,100,1,1.83912106506947
131,-0.3,-0.3,-0.2,100,2,-0.739251055592265
132,-0.3,-0.3,-0.2,100,1,1.79344855240853
132,-0.3,-0.3,-0.2,100,2,1.87824045981117
133,-0.3,-0.3,-0.2,100,1,1.75119593381412
133,-0.3,-0.3,-0.2,100,2,0.639452905737389
134,-0.3,-0.3,-0.2,100,1,0.467807060173559
134,-0.3,-0.3,-0.2,100,2,-0.255996617913428
135,-0.3,-0.3,-0.2,100,1,2.74115113956619
135,-0.3,-0.3,-0.2,100,2,-0.282870983340819
136,-0.3,-0.3,-0.2,100,1,2.68398310855572
136,-0.3,-0.3,-0.2,100,2,0.69773770419897
137,-0.3,-0.3,-0.2,100,1,1.41039908784501
137,-0.3,-0.3,-0.2,100,2,1.35776807685931
138,-0.3,-0.3,-0.2,100,1,1.59338627420757
138,-0.3,-0.3,-0.2,100,2,-0.202300653963201
139,-0.3,-0.3,-0.2,100,1,2.59710142507592
139,-0.3,-0.3,-0.2,100,2,-0.442373266670552
140,-0.3,-0.3,-0.2,100,1,2.10266100834386
140,-0.3,-0.3,-0.2,100,2,0.10385921986981
141,-0.3,-0.3,-0.2,100,1,2.38072900637476
141,-0.3,-0.3,-0.2,100,2,1.39643974037941
142,-0.3,-0.3,-0.2,100,1,2.67359689039767
142,-0.3,-0.3,-0.2,100,2,1.28194463091729
143,-0.3,-0.3,-0.2,100,1,1.60533040528584
143,-0.3,-0.3,-0.2,100,2,0.736510186407387
144,-0.3,-0.3,-0.2,100,1,1.37918354641406
144,-0.3,-0.3,-0.2,100,2,0.926723215282222
145,-0.3,-0.3,-0.2,100,1,2.30223755794013
145,-0.3,-0.3,-0.2,100,2,1.55947451583642
146,-0.3,-0.3,-0.2,100,1,2.29249922462996
146,-0.3,-0.3,-0.2,100,2,2.3654802834998
147,-0.3,-0.3,-0.2,100,1,1.61162769591247
147,-0.3,-0.3,-0.2,100,2,1.75428754811333
148,-0.3,-0.3,-0.2,100,1,1.56557943234356
148,-0.3,-0.3,-0.2,100,2,1.70922010972493
149,-0.3,-0.3,-0.2,100,1,2.7540171155569
149,-0.3,-0.3,-0.2,100,2,-0.0858453185853363
150,-0.3,-0.3,-0.2,100,1,2.26225048817002
150,-0.3,-0.3,-0.2,100,2,1.59282727566355
151,-0.3,-0.3,-0.2,100,1,2.42517427368571
151,-0.3,-0.3,-0.2,100,2,1.46875383566539
152,-0.3,-0.3,-0.2,100,1,0.49063289690235
152,-0.3,-0.3,-0.2,100,2,1.78064663315571
153,-0.3,-0.3,-0.2,100,1,1.4930665115255
153,-0.3,-0.3,-0.2,100,2,0.825812039245216
154,-0.3,-0.3,-0.2,100,1,2.93309379888122
154,-0.3,-0.3,-0.2,100,2,-1.93450449067196
155,-0.3,-0.3,-0.2,100,1,1.84335634256732
155,-0.3,-0.3,-0.2,100,2,1.54915261532557
156,-0.3,-0.3,-0.2,100,1,2.36839232825109
156,-0.3,-0.3,-0.2,100,2,1.78755003893822
157,-0.3,-0.3,-0.2,100,1,1.12439157768571
157,-0.3,-0.3,-0.2,100,2,0.991450689364083
158,-0.3,-0.3,-0.2,100,1,2.21791600017993
158,-0.3,-0.3,-0.2,100,2,0.291303208704707
159,-0.3,-0.3,-0.2,100,1,-0.561701672259456
159,-0.3,-0.3,-0.2,100,2,-0.515607369675202
160,-0.3,-0.3,-0.2,100,1,1.67321586322699
160,-0.3,-0.3,-0.2,100,2,0.577567057813898
161,-0.3,-0.3,-0.2,100,1,-0.287958717689692
161,-0.3,-0.3,-0.2,100,2,0.209845449394116
162,-0.3,-0.3,-0.2,100,1,2.83551905706703
162,-0.3,-0.3,-0.2,100,2,-0.372866590723213
163,-0.3,-0.3,-0.2,100,1,2.47896600205252
163,-0.3,-0.3,-0.2,100,2,0.695296255649513
164,-0.3,-0.3,-0.2,100,1,1.67520923076481
164,-0.3,-0.3,-0.2,100,2,0.928639034770921
165,-0.3,-0.3,-0.2,100,1,1.79887406662923
165,-0.3,-0.3,-0.2,100,2,1.5220790507049
166,-0.3,-0.3,-0.2,100,1,2.50461285999603
166,-0.3,-0.3,-0.2,100,2,2.15098672402858
167,-0.3,-0.3,-0.2,100,1,1.99976557743083
167,-0.3,-0.3,-0.2,100,2,0.835122681415219
168,-0.3,-0.3,-0.2,100,1,1.57442808417893
168,-0.3,-0.3,-0.2,100,2,0.642830363498633
169,-0.3,-0.3,-0.2,100,1,2.44011539778388
169,-0.3,-0.3,-0.2,100,2,0.765381172726937
170,-0.3,-0.3,-0.2,100,1,2.68933361764718
170,-0.3,-0.3,-0.2,100,2,0.894920845754073
171,-0.3,-0.3,-0.2,100,1,1.82030593171117
171,-0.3,-0.3,-0.2,100,2,0.278469134158116
172,-0.3,-0.3,-0.2,100,1,1.94472373789193
172,-0.3,-0.3,-0.2,100,2,1.92752037741441
173,-0.3,-0.3,-0.2,100,1,1.78441220786847
173,-0.3,-0.3,-0.2,100,2,1.29950373426785
174,-0.3,-0.3,-0.2,100,1,2.02002147394912
174,-0.3,-0.3,-0.2,100,2,0.115839213350265
175,-0.3,-0.3,-0.2,100,1,2.14902858446697
175,-0.3,-0.3,-0.2,100,2,1.33297985359316
176,-0.3,-0.3,-0.2,100,1,1.66052582570351
176,-0.3,-0.3,-0.2,100,2,1.0978541957688
177,-0.3,-0.3,-0.2,100,1,2.22277147498939
